,query,gold_answer,model_answer
0,"Answer the following: given the following review, seperated into title and content, what is the review's given score, as an integer from 1 to 5? Title: ""Great but I have one suggestion…."", Content: ""First of all I would like to say I think that the app is amazing, but sometimes I need to other things and have to leave the app for a bit, and my suggestion is that it sends a notification when it is done with something when you’re not on it, it would be game changing if you did add it, so please do""",5,5
1,"Answer the following: given the following review, seperated into title and content, what is the review's given score, as an integer from 1 to 5? Title: ""Works Well"", Content: ""Initially testing and it looks like a solidly built app. Would’ve preferred being able to swipe right for a list of previous chats though instead of having to select the “history” drop-down option. Overall glad we have this so users don’t need to open the mobile web version anymore.""",5,5
2,"Answer the following: given the following review, seperated into title and content, what is the review's given score, as an integer from 1 to 5? Title: ""Chinese developer could never build such a thing"", Content: ""Do you know why because they always think about making money making revenue and trying to get get it through advertisement and all that stuff just makes to use experience become super annoying overall""",5,3
3,"Answer the following: given the following review, seperated into title and content, what is the review's given score, as an integer from 1 to 5? Title: ""Overall good but some suggestions"", Content: ""Overall good app.

The one thing I would change is making more accessible buttons. Right now to get to history you have to click 3 dots and then history. The same is true for new chat and settings. I think it would be much more easy to use if it was just 3 separate buttons for these. 

Thats all.""",4,4
4,"Answer the following: given the following review, seperated into title and content, what is the review's given score, as an integer from 1 to 5? Title: ""Wonderful"", Content: ""I challenge this app to its fullest and ask it to help write music or to help me make D&D campaigns that are completely custom and it has been so very helpful and just amazing. If I were to have any notes it would be the text art that it shares. Other than that I still give 5/5 stars. Absolutely amazing and revolutionary""",5,5
5,"Answer the following: given the following review, seperated into title and content, what is the review's given score, as an integer from 1 to 5? Title: ""Sign-in screen issue"", Content: ""Once you login (at least on an iPhone mini) the button to continue to the chat screen appears below but hidden and the screen gets stuck, unable to scroll to continue; you have to try hard and keep clicking the hidden button until you get to the next screen.""",4,3
6,"Answer the following: given the following review, seperated into title and content, what is the review's given score, as an integer from 1 to 5? Title: ""App is great and very helpful!"", Content: ""I can see this is just the very beginning and a lot of significant improvements can be made (voice, show pictures, be more human-like that you feel like you're chatting with a real person, etc) as AI continues to advance at a rapid pace. Thank you for making this app free and available!""",5,5
7,"Answer the following: given the following review, seperated into title and content, what is the review's given score, as an integer from 1 to 5? Title: ""As good as the browser"", Content: ""As simple as using it on a desktop or browser version. It helps me move around the interface better than the browser on mobile devices. The AI still acts the same as it does on the desktop or browser. It deserves the score it gets.""",5,5
8,"Answer the following: given the following review, seperated into title and content, what is the review's given score, as an integer from 1 to 5? Title: ""Hands down greatest AI App!!!!!"", Content: ""Question can you give it access to current information, it keeps saying that it’s in September 2021 time on knowledge. Or give it capabilities of loading and learning information from the internet to be present on current time and information right now?""",5,3
9,"Answer the following: given the following review, seperated into title and content, what is the review's given score, as an integer from 1 to 5? Title: ""Amazing app"", Content: ""I've been using the website for a week and was thrilled to discover the app. The app's response time is much faster, which is excellent. I am looking forward to a Mac version of the app soon. Thank you for everything. The website has been life-changing, and the app will be the same.""",5,5
10,"Answer the following: given the following review, seperated into title and content, what is the review's given score, as an integer from 1 to 5? Title: ""excellent"", Content: ""Really a powerful tool for my daily life, at the same time I think you have a dramatically improvement space, I hope you can bring us the best experience, and I hope you can develop a iPad version ChatGPT to us, on a bigger screen the answer should be display well, thank you!""",5,5
11,"Answer the following: given the following review, seperated into title and content, what is the review's given score, as an integer from 1 to 5? Title: ""Solid, clean app - love the haptic feedback"", Content: ""Really pleased to see a proper mobile app for the service instead of the countless knockoffs. Would like to see a way to export history to a version control system for reference, also being able to export to flat files or json would be a good intermediate solution.""",5,5
12,"Answer the following: given the following review, seperated into title and content, what is the review's given score, as an integer from 1 to 5? Title: ""Great app can be 100 times better"", Content: ""As a product manager I would suggest to start building the widgets as soon as possible to make the search more intuitive. Please make it a first priority. (I can help)

Other then that, I really love the voice to text..
I am a fan. Its sooo accurate then apple dictating.
Future looks great ❤️❤️""",5,5
13,"Answer the following: given the following review, seperated into title and content, what is the review's given score, as an integer from 1 to 5? Title: ""A bit buggy"", Content: ""Sometimes when you ask it to generate something. It get stuck and doesn’t generate anything unless I force close the app and open it again then it works. Don’t know why this happens. 
Also when I go to settings/data controls and export my data. I don’t receive anything in my email.""",4,1
